time,x,y
  9.3599999999848560e+00,  5.1996825091650933e+01,  2.6070459364010649e+01
  9.3699999999848327e+00,  5.2071335007630523e+01,  2.6102050723336106e+01
  9.3799999999848094e+00,  5.2146040652123610e+01,  2.6133066261243513e+01
  9.3899999999847861e+00,  5.2220937164258459e+01,  2.6163509896710295e+01
  9.3999999999847628e+00,  5.2296019810857587e+01,  2.6193385669432438e+01
  9.4099999999847395e+00,  5.2371283925726296e+01,  2.6222698271854089e+01
  9.4199999999847162e+00,  5.2446725383762228e+01,  2.6251451807840645e+01
  9.4299999999846928e+00,  5.2522340070899141e+01,  2.6279651076527248e+01
  9.4399999999846695e+00,  5.2598124034536760e+01,  2.6307301187582279e+01
  9.4499999999846462e+00,  5.2674073540485480e+01,  2.6334407393344659e+01
  9.4599999999846229e+00,  5.2750185080559305e+01,  2.6360974974906842e+01
  9.4699999999845996e+00,  5.2826455316542891e+01,  2.6387009257301010e+01
  9.4799999999845763e+00,  5.2902881034738755e+01,  2.6412515612142144e+01
  9.4899999999845530e+00,  5.2979459110714238e+01,  2.6437499452682111e+01
  9.4999999999845297e+00,  5.3056186482491704e+01,  2.6461966227507705e+01
  9.5099999999845064e+00,  5.3133060020510996e+01,  2.6485921904653932e+01
  9.5199999999844831e+00,  5.3210076876707014e+01,  2.6509371885965397e+01
  9.5299999999844598e+00,  5.3287234053027113e+01,  2.6532322276667880e+01
  9.5399999999844365e+00,  5.3364528565310181e+01,  2.6554779278143059e+01
  9.5499999999844132e+00,  5.3441957453548909e+01,  2.6576749164628779e+01
  9.5599999999843899e+00,  5.3519517786958083e+01,  2.6598238296002204e+01
  9.5699999999843666e+00,  5.3597206636133130e+01,  2.6619253213901079e+01
  9.5799999999843433e+00,  5.3675021066433530e+01,  2.6639800694663677e+01
  9.5899999999843200e+00,  5.3752958202068235e+01,  2.6659887593041059e+01
  9.5999999999842967e+00,  5.3831015224260753e+01,  2.6679520852310322e+01
  9.6099999999842733e+00,  5.3909189287442970e+01,  2.6698707937475458e+01
  9.6199999999842500e+00,  5.3987477777767594e+01,  2.6717455891465384e+01
  9.6299999999842267e+00,  5.4065878018342588e+01,  2.6735772332565652e+01
  9.6399999999842034e+00,  5.4144387385982171e+01,  2.6753665038982160e+01
  9.6499999999841801e+00,  5.4223003317870408e+01,  2.6771141919166681e+01
  9.6599999999841568e+00,  5.4301723312490807e+01,  2.6788210996041180e+01
  9.6699999999841335e+00,  5.4380544928119441e+01,  2.6804880398085569e+01
  9.6799999999841102e+00,  5.4459465780292710e+01,  2.6821158354891541e+01
  9.6899999999840869e+00,  5.4538483539170365e+01,  2.6837053194957516e+01
  9.6999999999840636e+00,  5.4617595927291333e+01,  2.6852573344156145e+01
  9.7099999999840403e+00,  5.4696800666947027e+01,  2.6867727644080254e+01
  9.7199999999840170e+00,  5.4776095642504757e+01,  2.6882524638274980e+01
  9.7299999999839937e+00,  5.4855478716563056e+01,  2.6896973322392839e+01
  9.7399999999839704e+00,  5.4934947799068574e+01,  2.6911082821587094e+01
  9.7499999999839471e+00,  5.5014500851341040e+01,  2.6924862368905053e+01
  9.7599999999839238e+00,  5.5094135921128803e+01,  2.6938321534635730e+01
  9.7699999999839005e+00,  5.5173851148134752e+01,  2.6951470270470054e+01
  9.7799999999838771e+00,  5.5253644707048409e+01,  2.6964318477380722e+01
  9.7899999999838538e+00,  5.5333514817103342e+01,  2.6976876045280310e+01
  9.7999999999838305e+00,  5.5413459746424536e+01,  2.6989152894481908e+01
  9.8099999999838072e+00,  5.5493477778105309e+01,  2.7001159193826709e+01
  9.8199999999837839e+00,  5.5573567295318576e+01,  2.7012904885419765e+01
  9.8299999999837606e+00,  5.5653726675898717e+01,  2.7024400152151031e+01
  9.8399999999837373e+00,  5.5733954323071799e+01,  2.7035655183041360e+01
  9.8499999999837140e+00,  5.5814248664285998e+01,  2.7046680145504038e+01
  9.8599999999836907e+00,  5.5894608148675893e+01,  2.7057485173882398e+01
  9.8699999999836674e+00,  5.5975031243697146e+01,  2.7068080364421110e+01
  9.8799999999836441e+00,  5.6055516434952615e+01,  2.7078475765421704e+01
  9.8899999999836208e+00,  5.6136062232401109e+01,  2.7088681361523829e+01
  9.8999999999835975e+00,  5.6216667178349311e+01,  2.7098707062594350e+01
  9.9099999999835742e+00,  5.6297329837839882e+01,  2.7108562801608151e+01
  9.9199999999835509e+00,  5.6378048835622415e+01,  2.7118258324703785e+01
  9.9299999999835276e+00,  5.6458822812216667e+01,  2.7127803431252666e+01
  9.9399999999835043e+00,  5.6539650436080514e+01,  2.7137207862333621e+01
  9.9499999999834809e+00,  5.6620530400416769e+01,  2.7146481296148302e+01
  9.9599999999834576e+00,  5.6701461418722303e+01,  2.7155633351025465e+01
  9.9699999999834343e+00,  5.6782442217625288e+01,  2.7164673598374772e+01
  9.9799999999834110e+00,  5.6863471524565981e+01,  2.7173611586685126e+01
  9.9899999999833877e+00,  5.6944548054297670e+01,  2.7182456859505780e+01
  9.9999999999833644e+00,  5.7025670507767032e+01,  2.7191218940389447e+01
  1.0009999999983341e+01,  5.7106836725567582e+01,  2.7199913722294138e+01
  1.0019999999983318e+01,  5.7188045725418824e+01,  2.7208550231055817e+01
  1.0029999999983295e+01,  5.7269295456542402e+01,  2.7217144742010316e+01
  1.0039999999983271e+01,  5.7350583782315972e+01,  2.7225714127787988e+01
