time,x,y
  4.8299999999954126e+00,  2.1268571589877823e+01,  2.2552594002143600e-01
  4.8399999999953893e+00,  2.1368822757238146e+01,  2.2667813757694474e-01
  4.8499999999953660e+00,  2.1469242388588199e+01,  2.2784077053107990e-01
  4.8599999999953427e+00,  2.1569840837396274e+01,  2.2901390292026610e-01
  4.8699999999953194e+00,  2.1670626652684764e+01,  2.3019755741274839e-01
  4.8799999999952961e+00,  2.1771606143400511e+01,  2.3139173166938162e-01
  4.8899999999952728e+00,  2.1872783395341923e+01,  2.3259640586740404e-01
  4.8999999999952495e+00,  2.1974160567506726e+01,  2.3381154405626484e-01
  4.9099999999952262e+00,  2.2075738325604927e+01,  2.3503709188123131e-01
  4.9199999999952029e+00,  2.2177516305971562e+01,  2.3627297282644807e-01
  4.9299999999951796e+00,  2.2279493538297217e+01,  2.3751908457890397e-01
  4.9399999999951563e+00,  2.2381668787072982e+01,  2.3877529651946675e-01
  4.9499999999951330e+00,  2.2484040797055432e+01,  2.4004144881147141e-01
  4.9599999999951097e+00,  2.2586608446262993e+01,  2.4131735314444649e-01
  4.9699999999950863e+00,  2.2689370821094187e+01,  2.4260279491878639e-01
  4.9799999999950630e+00,  2.2792327233147695e+01,  2.4389753651444529e-01
  4.9899999999950397e+00,  2.2895477197764794e+01,  2.4520132124486207e-01
  4.9999999999950164e+00,  2.2998820391859983e+01,  2.4651387762387825e-01
  5.0099999999949931e+00,  2.3102356604697068e+01,  2.4783492363954615e-01
  5.0199999999949698e+00,  2.3206085691008063e+01,  2.4916417081069098e-01
  5.0299999999949465e+00,  2.3310007531956025e+01,  2.5050132788303331e-01
  5.0399999999949232e+00,  2.3414122006298815e+01,  2.5184610409154479e-01
  5.0499999999948999e+00,  2.3518428971851002e+01,  2.5319821196958225e-01
  5.0599999999948766e+00,  2.3622928255929132e+01,  2.5455736972190113e-01
  5.0699999999948533e+00,  2.3727619652763348e+01,  2.5592330320048023e-01
  5.0799999999948300e+00,  2.3832502925690640e+01,  2.5729574753120182e-01
  5.0899999999948067e+00,  2.3937577812128097e+01,  2.5867444844002957e-01
  5.0999999999947834e+00,  2.4042844029704430e+01,  2.6005916332245066e-01
  5.1099999999947601e+00,  2.4148301282379315e+01,  2.6144966209237963e-01
  5.1199999999947368e+00,  2.4253949265815287e+01,  2.6284572783945709e-01
  5.1299999999947135e+00,  2.4359787671636958e+01,  2.6424715731669474e-01
